"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
Taiwan,TWN,"GDP per capita (current US$)","NY.GDP.PCAP.CD",162,172,189,213,229,248,279,317,354,393,447,525,700,927,978,1151,1323,1599,1943,2385,2730,2703,2902,3219,3290,4007,5265,6146,7558,8124,9016,10625,11079,11982,12918,13428,13810,12598,13585,14704,13147,13404,13773,15012,16051,16491,17154,17399,16359,18503,20057,20423,
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17342.4719395745","16441.3812596351","16586.1922970903","17927.4120263906","19081.570288414","19356.4208651472","20619.5658496388","20671.545738502","20433.6541088167","20834.9397101237","22566.6821576324","23302.8319880055","24015.4206122701","25921.2821405392","27549.3457319106","24639.9353260156","24289.1415161326","25354.7824741086","","",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","3238.08930857635","3497.91312652628","4217.40041168169","5343.12277676194","6320.97187804694","7168.39870956809","7151.57376813729","7751.169371822","9127.61169904434","11819.6457899758","12377.7138585391","10372.3271798169","9611.23805783753","8023.34562682223","7729.32336402426","7775.02750730729","10362.1677498842","12615.0521783631","14305.2096423903","15166.912581061","18876.7301903679","19530.8420614121","20541.7731272609","16508.8749149607","16226.9701802536","18460.0066061368","19043.8352940747","18421.6888284091","18996.441222614","19347.1110672469","17334.2756700025","18599.4153888345","20326.9001004177","25355.2671797143","29372.1667374519","31268.9667449795","34484.7008637747","39922.8901210414","46418.4154673278","","","","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","61.3040930583217","59.798693323222","80.4230020659073","83.7948118142624","103.089103111692","140.138383240116","163.700788626879","131.221435925562","131.313621224771","158.764230928666","161.709515997947","137.023687562771","144.8505998375","175.625523933274","188.552120093363","199.546613632383","226.578885405814","250.007640997592","278.939778294497","276.29775135459","268.346559648938","","","","","","","","","","","","","","","","","","","","115.312509504906","185.959290128351","198.287799138095","220.056287808743","252.407892476849","275.350940904774","373.591416218515","376.977669868854","450.659239044994","561.197617484795","619.592120402192","","",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","750.72195699464","681.908459808887","772.210507796565","813.960940959841","923.5829011715","992.872870993658","1144.6596373566","525.267782110467","464.784342594799","345.689160150374","416.320095816175","604.439435406847","597.931781354203","490.582014859874","455.41394581715","655.629494626364","621.195930088502","767.922605606992","905.012662425927","1237.75305716384","1706.54361580787","2440.63171610643","3412.71899796564","4596.26843094315","3988.68355727652","4218.64912557379","5159.23366603997","5484.83496907126","",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","641.130985905004","638.541026159301","687.411558633557","663.268318247019","637.207269797634","685.912203237685","609.717698488083","329.261478045316","205.825877555183","359.370914122738","586.719178474028","722.037368132086","901.879398910357","659.265904088532","820.26207927058","1035.10051969296","1115.49391610218","1244.95303509179","1363.33463319796","1744.87598158281","2320.89233029743","2620.82072396395","2872.26062506829","3380.89419205552","4108.41412392958","3845.72171962427","3764.32634799148","4109.08201173014","4148.85167512995","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","278.025533043914","298.245194739515","316.67887810313","357.392402319819","422.456282395255","520.943711456782","962.512413290457","1044.93216907522","1250.51005882108","1406.84420047808","1506.49530951751","1946.10524401113","2502.62835332744","2501.4709923258","2260.14891424607","2069.53543839913","2033.7429061925","1951.16730019026","1785.27005907985","1853.7932089439","1740.88352284597","1792.2025553143","1947.06753766115","1864.73264210523","1962.80058606274","1937.0357812679","1932.86099074831","2014.82067695994","2178.10575279276","2267.63709755357","2160.18725692172","2310.2960801842","2607.40510142881","2484.62638377347","2465.18218907767","2716.25571225192","3125.02861215315","3737.30121759384","4403.98360209173","5028.47970695412","6236.71800248101","5317.24992021377","6049.39901758129","7193.48855445625","","",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","27631.8985401645","30817.2633828883","34371.4628949095","28742.855354213","33716.7240835592","42961.8382150634","45232.6335281834","40339.2718734665","35218.0579741799","32731.507235934","30138.8863490181","23788.110756089","24019.6440095658","22543.0962331629","24289.9421357647","28066.149918578","27018.926378943","26944.7548737053","26224.1490533804","26568.4899320413","28020.0854141076","29776.1600121965","30218.1755039743","27482.9828984103","29183.0504343053","34476.2854230195","32984.7423721858","34062.425735016","36906.1998942909","40403.988167934","43533.8917822307","45554.2194039789","44528.9960064078","46309.9821099673","35025.1044868075","34048.5302479149","39057.8401080621","","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","1148.16961298053","844.725024008369","1165.78516387942","1271.41556636899","1265.77734467379","1057.32806804985","1136.12592453378","1323.70790453585","1317.1869889513","1366.1180737277","1401.32489153958","2083.81188288541","2824.42766599272","2011.42143698411","1932.10310707553","2111.62136272167","2128.11608256583","2499.95664312636","2736.89737769562","2755.74442766573","2908.25092853875","3532.45047283574","2646.40665946183","2914.15451119049","3602.1791828324","3554.87780310803","3979.63712639717","2382.21723574934","4332.65638710793","5736.02046500778","6824.99708518771","6971.14224546288","7483.86386333018","7407.64520757917","7717.47985981198","8205.4529604258","8278.97251630894","7764.65649673207","7701.35853477978","7208.81462769081","2711.85076981197","3413.10907212233","3997.24328750275","4740.06702885837","5490.43517437","6630.0452875089","8231.22599714184","7674.34239741305","9132.95802722239","10951.5819264953","11452.1290071111","",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636.680689996499","589.002948223927","368.916836793393","356.507351442189","399.751202522265","455.550276086151","503.231969620213","522.522072040184","608.336648730809","596.505996304047","621.424826318947","692.318825533253","779.89284168496","924.582154829345","1182.09735964882","1625.39690429443","2126.0895659071","3079.1440862724","3916.73042675126","2913.60061000841","3124.7842960129","3420.2657100317","3337.86368824499","",
